#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
226,Lisk LSK,$0.663476,-0.3%,-3.6%,-4.0%,"$688,519","$96,026,782",-,-
227,Everscale EVER,$0.052964306853,-0.2%,2.5%,1.0%,"$1,146,728","$95,699,188","$110,825,655",0.86
228,API3 API3,$1.00,-0.3%,-2.7%,-11.9%,"$5,956,220","$95,279,490","$126,348,643",0.75
229,Horizen ZEN,$6.73,-0.7%,-0.3%,-5.4%,"$3,990,848","$95,043,055","$141,439,444",0.67
230,Amp AMP,$0.001676715009,0.5%,-3.0%,-10.5%,"$2,654,687","$94,382,802","$167,225,031",0.56
231,Marinade staked SOL MSOL,$20.05,-0.5%,-1.4%,-8.7%,"$1,073,635","$93,978,786","$93,977,379",1.00
233,Kyber Network Crystal KNC,$0.509115,-0.5%,-2.4%,-0.7%,"$9,605,163","$92,793,752","$128,869,141",0.72
232,Echelon Prime PRIME,$4.00,-2.2%,-10.4%,25.0%,"$1,608,699","$92,786,113","$444,838,114",0.21
234,CoinEx CET,$0.030748169569,-0.9%,-1.1%,-5.1%,"$154,213","$91,189,459","$307,286,366",0.30
235,Krypton DAO KRD,$0.887748,-0.0%,-6.4%,-16.0%,"$1,446.67","$90,956,127","$8,877,481,891",0.01
236,Decentralized Social DESO,$8.64,0.1%,0.0%,-1.4%,"$2,271,074","$90,841,776","$93,224,365",0.97
237,Bitkub Coin KUB,$1.01,-0.8%,-2.3%,-7.7%,"$514,407","$90,238,191","$111,718,638",0.81
238,Gains Network GNS,$2.96,-0.5%,-1.6%,-8.9%,"$2,974,824","$89,537,530","$89,537,530",1.00
239,LUKSO [OLD] LYXE,$5.66,-0.1%,-7.0%,-10.6%,"$73,415.96","$88,005,337","$565,009,071",0.16
240,Nervos Network CKB,$0.002630044641,-0.5%,-1.8%,-1.3%,"$1,273,593","$87,823,247",-,-
241,Cartesi CTSI,$0.117842,-0.7%,-2.3%,-6.9%,"$5,058,276","$86,901,201","$118,555,471",0.73
245,Wrapped Centrifuge WCFG,$0.238633,0.3%,-1.3%,2.6%,"$80,567.89","$85,994,825",$0.000000000000,-
242,Reserve Rights RSR,$0.001694873549,-0.7%,-2.6%,-1.1%,"$5,021,547","$85,900,796","$169,764,418",0.51
244,Polymesh POLYX,$0.100736,-0.3%,-3.2%,-3.6%,"$1,491,775","$85,745,795","$85,745,795",1.00
243,Centrifuge CFG,$0.237253,0.1%,-1.8%,2.2%,"$239,808","$85,654,456","$106,278,281",0.81
246,Status SNT,$0.021569069685,-0.4%,-0.8%,1.0%,"$6,618,578","$85,446,364","$146,813,228",0.58
247,HXRO HXRO,$0.137914,-0.0%,-1.2%,-3.8%,"$1,006.25","$84,312,965","$138,130,655",0.61
248,Murasaki MURA,$1.47,-1.6%,-1.0%,-4.2%,$515.16,"$84,133,970","$1,465,748,606",0.06
249,Metal DAO MTL,$1.30,0.5%,4.4%,17.6%,"$21,457,469","$83,989,918","$86,530,418",0.97
250,e-Radix EXRD,$0.055274732787,0.3%,-6.1%,6.6%,"$441,281","$83,707,813","$1,328,044,086",0.06
251,Pundi X PUNDIX,$0.317685,-0.3%,-4.0%,-1.8%,"$1,947,834","$82,110,558","$82,110,558",1.00
252,OriginTrail TRAC,$0.213214,-0.6%,-2.5%,-11.5%,"$941,722","$81,677,223","$106,684,356",0.77
253,Short-term T-Bill Token STBT,$0.998944,,,-0.0%,"$299,683","$81,219,238","$81,219,238",1.00
255,Kinesis Silver KAG,$23.12,-0.2%,0.0%,-3.5%,"$61,286.63","$80,263,207",-,-
254,STP STPT,$0.041308699246,-0.1%,-1.7%,-2.2%,"$553,166","$80,196,827","$80,196,827",1.00
257,Vulcan Forged PYR,$3.35,-0.1%,-4.9%,-19.3%,"$5,411,862","$80,121,316","$167,633,948",0.48
256,Efinity EFI,$0.058129266383,0.1%,2.9%,30.5%,"$543,887","$79,947,590","$116,257,341",0.69
258,JOE JOE,$0.233137,-0.1%,-3.6%,-6.5%,"$9,456,424","$79,604,594","$116,565,242",0.68
259,Nano XNO,$0.595867,-0.2%,-3.4%,-6.1%,"$970,392","$79,379,454","$79,379,454",1.00
261,Function X FX,$0.121903,-0.1%,-8.6%,-5.2%,"$2,966,578","$78,891,267","$231,039,482",0.34
262,Kinesis Gold KAU,$61.90,-0.1%,0.0%,-0.7%,"$76,657.66","$78,767,241",-,-
263,Core CORE,$0.496254,-1.1%,-5.7%,-13.8%,"$4,956,309","$78,643,901","$1,043,819,405",0.08
260,DeXe DEXE,$2.15,-1.1%,-0.8%,-0.2%,"$792,971","$78,596,115","$207,806,161",0.38
264,Constellation DAG,$0.026981414765,0.1%,-3.3%,-5.2%,"$243,429","$78,250,123","$95,826,629",0.82
267,Lido Staked SOL STSOL,$19.92,-0.9%,-1.4%,-8.8%,"$1,332,297","$78,002,527","$78,002,429",1.00
266,inSure DeFi SURE,$0.002941613914,-0.3%,-4.1%,18.0%,"$1,340,069","$77,835,755","$258,827,171",0.30
265,Nerve Finance NRV,$0.003414037842,-3.0%,-8.0%,-1.2%,"$23,795.12","$77,747,624","$156,256,967",-
269,PlayDapp PLA,$0.136436,-0.2%,-2.9%,-3.7%,"$1,793,191","$77,657,537","$95,492,035",0.81
270,Decimal DEL,$0.015390761949,0.2%,2.4%,-2.7%,"$1,614.32","$77,288,324","$1,416,451,004",0.05
271,Numeraire NMR,$12.21,-0.3%,-6.6%,-17.2%,"$10,058,011","$77,161,940","$134,234,056",0.57
268,VVS Finance VVS,$0.000002059574,0.0%,-3.2%,-2.2%,"$259,595","$77,106,954","$205,307,860",0.38
272,Open Campus EDU,$0.410561,-0.5%,-3.2%,-8.0%,"$7,606,441","$76,890,796","$410,312,196",0.19
273,MaidSafeCoin EMAID,$0.231137,6.6%,-1.5%,18.2%,"$1,956.62","$76,302,113",-,-
274,MiL.k Alliance MLK,$0.246142,-1.0%,-4.9%,-7.2%,"$3,021,000","$75,806,997","$320,137,416",0.24
275,Hermez Network HEZ,$4.52,-0.2%,3.4%,-5.0%,"$37,789.31","$75,578,064","$85,762,552",0.88
277,World$tateCoin W$C,$0.080589043786,0.1%,0.0%,-0.6%,"$676,382","$74,789,949","$80,627,119",0.93
276,Coin98 C98,$0.130087,-0.5%,-2.0%,-7.5%,"$6,841,215","$74,544,018","$130,144,748",0.57
278,Swell Ethereum SWETH,"$1,593.52",-0.2%,-3.1%,-4.3%,"$835,482","$73,954,923","$73,954,923",1.00
279,Ergo ERG,$1.00,0.2%,-0.6%,-2.7%,"$357,630","$73,459,085","$97,744,278",0.75
280,dKargo DKA,$0.023221717487,2.0%,-3.9%,-4.7%,"$965,215","$71,995,638","$116,482,089",0.62
281,iExec RLC RLC,$0.993056,-0.1%,-0.2%,-8.1%,"$11,073,948","$71,862,245","$86,374,409",0.83
282,Kujira KUJI,$0.611321,-0.7%,-1.5%,-7.0%,"$316,385","$70,977,535","$74,735,763",0.95
283,Dogelon Mars ELON,$0.000000129198,-0.1%,-3.3%,-8.1%,"$3,476,880","$70,928,843","$129,043,657",0.55
284,Dock DOCK,$0.013033122009,-0.1%,-3.5%,-3.7%,"$780,265","$70,448,413",-,-
286,Origin Ether OETH,"$1,555.60",-0.2%,-3.2%,-4.4%,"$132,636","$70,002,862","$70,002,862",1.00
285,Prom PROM,$3.83,0.2%,-3.0%,-10.4%,"$1,479,136","$69,844,902","$73,672,020",0.95
287,Liquity LQTY,$0.746932,-0.5%,-2.6%,-9.3%,"$12,401,878","$69,758,937","$74,678,996",0.93
288,Share SHR,$0.001251571898,-0.7%,-2.0%,-10.3%,"$62,074.98","$69,453,171",-,-
290,Bitgert BRISE,$0.000000173772,-0.2%,-4.1%,-5.7%,"$4,260,288","$68,715,965","$173,661,894",0.40
291,RSK Infrastructure Framework RIF,$0.069112338050,-0.6%,-0.5%,-2.1%,"$709,649","$68,614,156","$69,074,190",0.99
292,ChainX PCX,$0.091193244711,-1.0%,-0.8%,1.4%,"$401,819","$68,530,128",-,-
289,IQ IQ,$0.004122142326,-0.0%,-2.4%,-2.3%,"$307,949","$68,425,465","$86,286,877",0.79
293,Telcoin TEL,$0.000967323252,0.0%,-5.8%,-5.1%,"$332,854","$68,412,177","$96,688,861",0.71
294,Wrapped NXM WNXM,$28.69,-0.2%,-1.9%,-1.6%,"$1,145,801","$67,438,486","$67,438,486",1.00
296,Alchemy Pay ACH,$0.013606172245,0.0%,2.1%,6.2%,"$9,557,350","$67,291,416","$136,115,739",0.49
297,Steem STEEM,$0.150085,-0.1%,-3.3%,-2.8%,"$952,286","$66,527,107",-,-
298,Utility Web3Shot UW3S,$0.125756,-0.1%,-2.1%,-2.5%,"$176,612","$66,053,026","$1,258,392,562",0.05
299,SafeMoon SFM,$0.000116512828,-2.3%,-8.7%,-9.2%,"$1,001,475","$65,791,190","$117,761,642",0.56
295,MVL MVL,$0.002767158368,-3.0%,-4.7%,-5.1%,"$183,292","$65,254,216","$82,939,875",0.79
302,BENQI Liquid Staked AVAX SAVAX,$10.17,-0.3%,-2.5%,-6.3%,"$770,192","$65,121,068","$65,121,068",1.00
